title;description;href;vol_price;volume;price;strike;price_1;discount;discount_1
Бразилия Сантос 17/18;Состав: Бразилия Сантос 17/18 - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-braziliya-santos-17-18/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Бразилия Сантос 17/18;Состав: Бразилия Сантос 17/18 - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-braziliya-santos-17-18/#title;500 гр. (600 руб. );500;600;0;1200,0;510,0;1020,0
Бразилия Сантос 17/18;Состав: Бразилия Сантос 17/18 - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-braziliya-santos-17-18/#title;1 кг. (1 100 руб. );1000;1100;0;1100,0;935,0;935,0
Гватемала Сабанетас;Состав: Гватемала Сабанетас - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/gvatemala-sabanetas/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Гватемала Сабанетас;Состав: Гватемала Сабанетас - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/gvatemala-sabanetas/#title;500 гр. (750 руб. );500;750;0;1500,0;637,5;1275,0
Гватемала Сабанетас;Состав: Гватемала Сабанетас - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/gvatemala-sabanetas/#title;1 кг. (1 400 руб. );1000;1400;0;1400,0;1190,0;1190,0
Эфиопия Бале Маунтин;Состав: Эфиопия Сидамо Бале Маунтин - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/efiopiya-sidamo-bale-mauntin/#title;200 гр. (500 руб. );200;500;0;2500,0;425,0;2125,0
Эфиопия Бале Маунтин;Состав: Эфиопия Сидамо Бале Маунтин - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/efiopiya-sidamo-bale-mauntin/#title;500 гр. (1 100 руб. );500;1100;0;2200,0;935,0;1870,0
Кения Карибу АА;Состав: Кения Карибу АА - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-keniya-karibu-aa/#title;200 гр. (500 руб. );200;500;0;2500,0;425,0;2125,0
Кения Карибу АА;Состав: Кения Карибу АА - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-keniya-karibu-aa/#title;500 гр. (1 100 руб. );500;1100;0;2200,0;935,0;1870,0
Уганда Сипи Фоллз;Состав: Уганда Сипи Фоллз органик - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/uganda-sipi-follz/#title;200 гр. (400 руб. );200;400;0;2000,0;340,0;1700,0
Уганда Сипи Фоллз;Состав: Уганда Сипи Фоллз органик - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/uganda-sipi-follz/#title;500 гр. (900 руб. );500;900;0;1800,0;765,0;1530,0
Колумбия Бурбон;Состав: Колумбия Уила розовый Бурбон - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/kolumbiya-uila-rozovyy-burbon/#title;200 гр. (700 руб. );200;700;0;3500,0;595,0;2975,0
Коста-Рика Дилье Алье пиберри;Состав: Коста-Рика Дилье Алье - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/kosta-rika-dile-ale/#title;200 гр. (1 500 руб. );200;1500;0;7500,0;1275,0;6375,0
Коста-Рика Дуддука;Состав: Коста-Рика Дуддука - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/costa-rica-dudduka/#title;200 гр. (1 200 руб. );200;1200;0;6000,0;1020,0;5100,0
